time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
2.611391,40.000000,40.626943,43.345393,41.753412,38.699549,-1.753412,0.074757,24,0
2.622321,40.000000,40.576873,42.603348,41.846052,38.874495,-1.846052,1.004667,12,0
2.631714,40.000000,40.534803,42.603348,41.846052,39.104416,-1.846052,0.397732,12,0
2.641518,40.000000,40.492563,42.603348,41.846052,39.056418,-1.846052,0.202250,12,0
2.652299,40.000000,40.469762,42.010502,41.671296,39.694512,-1.671296,0.983286,0,0
2.662159,40.000000,40.442046,40.799807,41.576307,39.499716,-1.576307,0.842800,11,0
2.671980,40.000000,40.405809,40.799807,41.576307,39.173766,-1.576307,0.663814,11,0
2.681583,40.000000,40.358548,45.035127,41.673382,38.751668,-1.673382,0.266756,1,0
2.692436,40.000000,40.319715,45.035127,41.673382,38.999383,-1.673382,1.120215,1,0
2.702101,40.000000,40.280748,45.035127,41.673382,38.955875,-1.673382,0.784738,1,0
2.711824,40.000000,40.304337,36.546218,41.114543,41.106368,-1.114543,0.507961,30,0
2.722210,40.000000,40.322959,39.360473,40.718404,40.956117,-0.718404,0.894441,1,0
2.731868,40.000000,40.306561,39.360473,40.718404,39.749021,-0.718404,0.552358,1,0
2.741588,40.000000,40.237739,43.427322,41.185176,37.897795,-1.185176,0.272160,3,0
2.752398,40.000000,40.218453,40.494841,41.109933,39.562702,-1.109933,1.081550,8,0
2.762127,40.000000,40.221202,38.757719,40.853552,40.314666,-0.853552,0.810798,6,0
2.771858,40.000000,40.201262,38.757719,40.853552,39.523330,-0.853552,0.542074,6,0
2.781526,40.000000,40.181259,38.757719,40.853552,39.501138,-0.853552,0.210215,6,0
2.792332,40.000000,40.113602,44.959331,41.277817,37.813281,-1.277817,1.015826,1,0
2.802145,40.000000,40.083295,44.959331,41.277817,39.052853,-1.277817,0.828506,1,0
2.811899,40.000000,40.022433,43.770123,41.549467,37.953129,-1.549467,0.583476,21,0
2.821678,40.000000,39.985444,43.770123,41.549467,38.727795,-1.549467,0.361964,21,0
2.831404,40.000000,40.024083,40.358352,40.874404,41.337808,-0.874404,0.087573,1,0
2.842284,40.000000,40.003105,40.358352,40.874404,39.289883,-0.874404,0.968192,1,0
2.851917,40.000000,39.982078,40.358352,40.874404,39.267149,-0.874404,0.601319,1,0
2.861625,40.000000,39.982781,39.093081,40.680247,40.006673,-0.680247,0.309033,24,0
2.872336,40.000000,39.966316,39.093081,40.680247,39.406517,-0.680247,1.020478,24,0
2.882167,40.000000,39.990340,40.976291,40.318983,40.807153,-0.318983,0.851175,2,0
2.891964,40.000000,39.982475,40.976291,40.318983,39.715067,-0.318983,0.647769,2,0
2.901664,40.000000,39.957542,41.713985,40.471032,39.109828,-0.471032,0.348148,21,0
2.912441,40.000000,39.946005,41.713985,40.471032,39.553729,-0.471032,1.124899,21,0
2.922217,40.000000,39.949039,39.277511,40.340944,40.052211,-0.340944,0.900600,12,0
2.931973,40.000000,39.953147,39.313345,40.228940,40.092807,-0.228940,0.657132,13,0
2.941746,40.000000,39.905376,40.763110,40.603285,38.281165,-0.603285,0.429537,5,0
2.951464,40.000000,39.890609,40.763110,40.603285,39.388514,-0.603285,0.147961,5,0
2.962321,40.000000,39.875302,40.645201,40.607853,39.354892,-0.607853,1.005067,20,0
2.972032,40.000000,39.860374,40.645201,40.607853,39.352794,-0.607853,0.716492,20,0
2.981764,40.000000,39.814179,43.163076,40.886362,38.243567,-0.886362,0.448323,13,0
2.991384,40.000000,39.792518,43.163076,40.886362,39.056046,-0.886362,0.067784,13,0
3.002123,40.000000,39.821343,36.753778,40.435928,40.801403,-0.435928,0.807239,18,0
3.011836,40.000000,39.829767,38.852875,40.263382,40.116183,-0.263382,0.520016,17,0
3.021502,40.000000,39.822965,38.852875,40.263382,39.591698,-0.263382,0.186030,17,0
3.032267,40.000000,39.873699,33.340431,39.750448,41.598628,0.249552,0.950899,3,0
3.042057,40.000000,39.970299,37.273313,38.938320,43.254729,1.061680,0.741323,1,0
